,Bcl11b,Cadps2,Calb1,Calb2,Cck,Cdh13,Chodl,Chrm2,Cnr1,Col25a1,Cort,Cox6a2,Cplx2,Cpne5,Crh,Crhbp,Cryab,Cxcl14,Enpp2,Gabrd,Gad1,Gda,Grin3a,Hapln1,Htr3a,Id2,Kcnk2,Kctd12,Kit,Lamp5,Lhx6,Ndnf,Neurod6,Nos1,Nov,Npy2r,Nr4a2,Nrn1,Ntng1,Pcp4,Pde1a,Penk,Plcxd2,Plp1,Pnoc,Prkca,Pthlh,Pvalb,Rab3c,Rasgrf2,Reln,Rgs10,Rgs12,Rgs4,Satb1,Sema3c,Serpini1,Slc17a8,Snca,Sncg,Sst,Synpr,Tac1,Tac2,Th,Thsd7a,Trp53i11,Vip,Wfs1,Yjefn3
cell_59,0,0,0,0.338394219,0.813648096,0,0,0,3.11E-07,0,0,2.59E-07,0.162148155,0,0,0,8.967995854,0.000910281,1.978608928,0,4.64E-06,0,0,0,0,0.834427872,0,0,1.28E-06,0,1.935261884,0,0,0,0,0,0,0,0,1.25E-08,6.71E-08,3.37E-07,0,19.94825624,0.033121112,0,0,0,0,0,7.12E-06,5.88E-06,0,0.054646534,5.60E-10,0,1.61E-07,0,2.53E-05,0.93189076,0,0,6.39E-06,0,0,0,0,0,0,0
cell_60,0,0,0,0,0,4.67E-05,0,0,0.86921899,0,0,0,0.016219946,0,0,0,0.039017116,0.70539354,0.00147419,0,6.18E-08,0,0,0,0,0,0,0,0,0,0.308204502,0,0,0,0,0,0,0.182542395,0,0,0.030258328,0.697080127,0.934130763,2.119735596,0.890628545,0,0,0.493211796,0,0,9.68E-10,0.320374181,0,1.377398309,0.925502025,0,1.72E-09,0,1.956701124,0.065879978,1.26E-07,0,0,0,0,1.55E-09,0,0,9.93E-07,0
cell_61,6.12E-10,2.72E-07,0,0,0,0.003070259,0.009970574,8.02E-11,0.000761537,0,5.15E-06,0,0.018254185,7.23E-10,0,3.10E-05,5.68E-06,1.77E-11,1.91E-05,0,0,0,3.49E-07,0,0.002025837,0,0,0,0.669073868,0.002426259,8.03E-06,0.266183497,1.32E-07,1.56E-06,0,0,0,0,0,0.000664181,0.000132091,0.45590639,1.35E-16,5.83E-05,0,3.03E-05,0,1.20E-06,0,0.001778911,5.58E-05,0.128501199,0,0.809292653,0,0,0.000409305,0,0.000340283,0.001970097,0.006974593,0,0,0.53076221,1.49E-05,0,0.003231232,0,0,0
cell_62,0.004263186,0,0,0,0,0.828803495,0,0.796556166,0.036480921,0,0,0,0.02575041,0,0,0,2.047783913,1.054366031,0.927740893,0,0.97899874,0,0,0,0,0.781860182,0,0,0,0,1.041921999,0,1.34E-05,0,0,0,0,0,0,0,0.159289248,0,0,0.057523333,0,0.929487051,0,0,0,0,0.000332162,0.966140097,0,0.960532826,3.203264471,0,0,0,0.208568755,0.000153005,0,0,0.127849349,0,0,0,0,0,0.170269583,0
cell_63,0.961666219,1.918169779,0,0,0,0.901469565,0,2.624031174,6.667054897,0.929338439,0,0,4.208824611,0,0,0,0.9053085,0.894739992,0.000460086,0,4.487459207,0,0.062664499,0,0,0,0,0,0.900241406,0,5.578174364,0,0,0,0,0,0,0,0,3.246464774,0.675102933,2.075865068,0,2.025160029,0,0,0,8.256270394,0.962165532,0,2.391722861,0.002133942,0,1.674170163,0.934233839,3.907425507,2.382803588,0.699168019,4.16E-07,1.943268497,0,0,0.611702833,0,0,0.39208858,0,0,1.06191977,0
cell_64,0,0,0,0,0,5.08E-05,0,0,0.000159869,1.24E-07,0,0,0.749929181,0,0,0,0.001991192,8.66E-06,3.01E-05,0,0.785864821,0,0,0,0,0.01732599,0,1.36E-05,0,0,0.004203418,0,0,0,0,0,0,0,0.000242933,0.000147801,4.25E-22,8.54E-26,0,0.010058031,0,0,0,0,0,0,0.000102649,0.037482888,0,0.745149444,0,0,2.33E-07,0,0.000427333,0.825037259,1.09E-08,0,0,0,0,1.04E-25,3.26E-07,0,5.61E-06,0
cell_65,0,1.10E-15,0,0,0,0.952282372,5.71E-12,0,2.19E-15,0,9.98E-18,0,0.981943712,0,0,2.71E-16,1.943230017,1.659649104,0.801005103,0,2.94E-12,0,0.940610702,0,1.68E-19,0.076628519,0,0.887451296,7.60E-22,3.03E-14,1.557683437,3.80E-11,1.80E-14,2.10E-20,0,0,0,0,0,0.971199323,0.955123185,0.971232656,0,0.263871492,0,4.91E-14,0,3.07E-22,0,2.27E-16,0.804145368,9.22E-06,0,1.05E-15,2.32E-18,0.390244943,9.72E-17,0,1.85E-09,2.881744029,0.217499022,0,0,1.87E-18,1.08E-20,0,3.61E-11,0,0.961981507,0
cell_66,0.920575692,0.984311926,0,0,0,10.4938843,0,0.814233137,1.079716753,0,0.955300773,0,7.047926981,4.751128735,0,0,2.84104844,3.56E-07,0.924906913,0,0,0,0.929010977,0,0,0,0,0,0,0.95146006,4.896722684,8.48E-05,1.923527899,1.708065804,0,0,0,0,0,0.002722807,21.95204291,0.000742477,0.021702356,1.961099291,0,4.720427216,0,0.887804787,1.16E-16,0,9.816149312,13.40253545,0,2.436250976,1.73E-07,0,0.734863565,0.001927367,14.52460507,16.33850391,0.399189017,0,0,0,0,0,7.200663169,0,0.019020712,0
cell_67,0,0,0,0,0,0.117502226,0,0.018551857,3.846267804,0,0,0.048198908,1.68E-05,0,0,0,0.07071774,1.954572661,0.002828744,0,0.901689351,0,0,0,0,0,0,0,0,0,3.243935802,0,0.775058284,0,0,0,0,0,0,1.41E-05,0.876204573,1.63E-05,0,2.874331822,0,0.01019406,0,0.000531391,0,0,2.644010187,0.003832224,0,0,2.211972355,0,0,0,1.362644888,0,0,0,2.961817797,0,0,0,0,0,0.40175459,0
cell_68,0,0,0,0,0,0,0,0,0.820559433,2.289565843,0,0,0.774761147,0,0,0,9.851198508,0.136874503,0.00090652,0,0,0,0,0,0,0,0,0.000600786,0,0,6.623150297,0,0,0,0,0,0,0,0,1.419744171,0.132146295,3.725012682,0.918645492,11.08409678,0.573419662,0,0,0,0,0,0.947302262,0,0,0.755006599,0.049776605,0,2.753533193,0,2.320760206,0.000994851,0,0.638851096,0,0,0,0.825122036,0,0,0,0
