,Calb2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Plp1_class,Rgs4_class,Satb1_class,Sncg_class,Zero
Enpp2,0.2625683316291776,1.0616773057662707,0.3665420776741629,0.2723862133740087,0.04141636749565615,0.6146676104975289,3.1836846693659333,0.5116294756163161,1.9316935582555712,0.07101390736287595,0.1288220306413849,2.4042957259904782,0.047478726214043095
Gabrd,0.0,0.007463490451306613,0.0,0.02018822911084285,0.043646504669072536,0.0,0.0,0.0,0.1073201376105525,0.0,0.030252197347022888,0.0,0.003339384313447221
Gad1,0.1477795171410681,0.8328624408536649,5.123595596334352,4.294870731619808,4.282944141486994,1.7729617228726924,3.2066084074724777,3.4861070134875973,3.6961215807044256,0.06012388343571848,2.04786920890969,0.6584827872257274,0.11629312366279154
Gda,0.0,0.0022329356034800256,0.01673107909887162,0.0,0.0204292660020898,0.0,0.0,0.0,0.012178510926997607,0.02331883416766726,0.018460942635342207,0.0,1.6634244727483067e-05
Grin3a,0.0,0.09321495754963997,0.16305872817631703,0.5427918627876888,0.5553156471179364,0.279219405705461,0.29278980668383614,0.915874940840457,0.22771180626042595,0.28524391499418,0.328781112534029,0.6168571705761401,0.02672838559614333
Hapln1,0.24093868488901557,0.005385675549319029,0.05391141269847561,0.0,0.06368502203757861,0.08776584300506973,0.05463171643613202,0.0,0.0,0.020762354975951275,0.02409561999113769,0.0,0.006323600677892379
Htr3a,0.0616891884930398,0.007299187388062139,0.06854937465634864,0.06183393310822929,0.49846658696773893,0.1413492438200915,0.12807879766793911,0.004285535109110888,0.23121141193575262,0.04508640050591937,0.2639418435016032,0.07646721480036114,0.003430446909426222
Id2,0.3715075682732901,0.469032575371941,0.16112374500171633,0.2886579742339097,0.577970077414294,0.07518819183078483,0.5123990787169191,0.13822261859480575,0.5995756900010033,0.1977118673971598,0.16092177856874915,0.1464967113722002,0.11564333580818793
Kcnk2,0.0,0.00556654622152502,0.03224757737309587,0.07919659326468259,0.04228058024208817,0.09744528371713132,0.06266402159623802,0.006947841790487487,0.24890316798001702,0.07240499752479314,0.05580173671218112,0.38642573656631324,0.0032297927335636126
Kctd12,0.0005940756767444329,0.12637560754988048,0.4280560384107621,0.435947684019883,0.8564786502447823,0.14359944132976304,0.1906377306551577,0.31042450384960457,0.02399495427972239,0.010835885905945307,0.14631764140174347,0.051286782158226824,0.04712617556511553
Kit,0.22358634283813436,0.15576422884508204,0.3504697545763975,0.9313002189179228,0.13009102225376123,1.164661042882067,0.7230783727477282,0.8389705181333535,0.8403030111315112,0.013901493034374485,0.42010124370929997,0.1484374078611956,0.043264450198672325
Lamp5,0.06377699672057745,0.00798221828692558,0.03371924031275299,0.09459843996782445,0.0002518891242310522,0.031111206183160503,0.07138185499876958,0.0,0.268842445061586,0.054052310808580264,0.2620618936283577,0.5667813244055511,0.0042888905119621915
Lhx6,0.8807309254566229,1.5839322813939556,3.7037631589940885,6.411178148498911,4.242172844769449,8.01495603556454,4.5861786443902615,7.5908202839798395,5.168401056689232,1.7545597982671108,5.563539749803013,1.961246627319638,0.25097167945705157
Ndnf,0.06621996539145023,0.01557822307791465,0.07486170241202623,0.020994529370939694,0.0,0.19753458047167005,0.1327621952528635,0.0,0.2678289456103991,0.05455437901899651,0.10062668305650657,0.12293542238014354,0.018280900402144945
Neurod6,0.06910931791558629,0.0030858799541825122,0.017527939962423546,0.01953858583536686,5.2909712074147095e-05,0.03032909603808922,0.0,0.0,0.0,0.0,0.036808243433332014,0.23564854055565573,1.8660552229728587e-05
Nos1,0.0,0.0019233421027413209,0.010116470596252413,0.03177978573869231,0.03416950671957399,0.030043021969864327,0.0,0.28139097653860734,0.09899439390303745,0.6883818777186751,0.04001924548717916,0.2897390894002439,0.0049898736412728895
Nov,0.0,0.005711486890087014,0.0,0.09859946902921164,0.02472097145902791,0.0,0.0,0.00014463462640072926,0.2614324479562201,0.0,0.01643043882389945,0.0,0.0
Npy2r,0.0,0.019205662669873457,0.013593385792893539,0.039038891051241156,0.18018490626619724,0.15846889535811579,0.0,0.10241694187544653,0.1319616740702849,0.00016351801303244077,0.33602222356794004,0.14358102301400297,0.013481748660025713
Nr4a2,0.0,0.004135430807182032,0.0,0.04013313333503791,0.020204725972175278,0.1114914534608448,0.0,0.0,0.0,0.1481601782252224,0.016541301849914033,0.22159031711793342,0.001012497461295605
Nrn1,2.6221224169537423,0.019701963660699977,0.0178733089750204,0.005521105894365301,0.0005804473353159236,0.028784366363829198,0.060523330107019144,0.0625262030482587,0.0,0.09889744402410372,0.07606626139536696,0.19378378486974368,0.01622231144048167
Ntng1,3.387176964703244,0.05463425214023832,0.01980151550181799,0.2625943616231655,0.38573024677238527,0.23328146052895674,0.21281550622195192,0.9880407018541724,0.517058124271595,0.344673125079933,0.3531752810750476,0.39119152003147756,0.01669637863967992
Pcp4,1.2888016326609324,0.8337208343357254,6.541008887414171,4.208783301962199,5.541316601935257,2.265019587552278,6.078945941867702,1.7197636523331339,2.401988528707186,1.9798563090647996,1.7212835068562786,1.9855729243267992,0.11936550574849891
Pde1a,0.23538986277399987,0.5205582015564749,0.47833007465933525,1.7024029070339886,1.135847336329524,3.2650804328313208,1.7342006042781457,7.791515356982469,0.5550971276408881,8.111552203705871,3.0907094234581662,10.326524250843747,0.1110064959447076
Penk,0.7562917675708477,0.647240007106386,4.873624652701787,1.2507739919009593,3.6144798323704044,0.6991551754761045,3.439423355142619,0.949203101716509,9.012163220920149,0.3728562467344634,3.3516615962549032,0.9760756866232607,0.13846430058007114
Plcxd2,0.41265118293956643,0.16595684160818205,0.8086882273724911,0.7045489346218617,1.108760750343628,0.41468355597892564,0.9422746428380577,0.537512798505399,1.858311350768495,0.35701620071034157,0.47564728794127475,0.5143098608567063,0.027083214094396228
Plp1,1.5809613533561,5.950291178439831,1.1731581134396074,0.37192187205220606,0.7272485755410527,4.946611137059126,15.631160662874054,1.6246215245234774,12.856130304785113,0.6709487749041638,0.6520442972266648,11.437796015190571,0.2957009034919521
Pnoc,1.3182405251240261,0.17034144617859384,0.2590452554716559,0.04888336806820689,0.9133308165166488,0.06710343686111672,0.01862750227120269,0.08808908831494167,5.4289320569245545,0.06317172669576866,1.9822431397864169,0.09193715407796675,0.03654542539341846
Prkca,0.41311003129373697,0.10926049339976457,0.1739778555395699,0.2272920581921318,0.5657983141753539,0.06162123510383478,0.5914025483426629,0.15368054609851184,0.0,0.5905470008174307,0.28692136673890917,1.0939666572236049,0.021961202018766546
